App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Search Term,Keyword,Match Type,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Advanced,desktop,cart drawer,cart drawer,exact,7.23,10,1,0.1,0,0,8.56,0,8.56,3,0.833333,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Grow,desktop,cart,cart,exact,9.53,8,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Grow,desktop,cart,cart,exact,9.53,7,1,0.142857,1,1,8.56,8.56,8.56,2.714285,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Grow,desktop,slide cart drawer,slide cart drawer,exact,8.56,6,0,0,0,0,0,0,0,4,0.857142,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,SE,Grow,desktop,cart,cart,exact,9.53,5,0,0,0,0,0,0,0,3.6,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Grow,desktop,cart,cart,exact,9.53,5,0,0,0,0,0,0,0,3.8,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Advanced,desktop,drawer,drawer,exact,2.56,4,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Grow,desktop,cart drawer,cart drawer,exact,7.23,4,0,0,0,0,0,0,0,2,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Grow,desktop,cart drawer,cart drawer,exact,7.23,4,0,0,0,0,0,0,0,1.5,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Grow,desktop,upcart,upcart,exact,10.56,3,0,0,0,0,0,0,0,4,0.6,,,,,
